time;SP;pSP;IPG1G2;IPG1;pG1P;IPG2;pG2P;SC;pSC;ICG1G2;ICG1;pG1C;ICG2;pG2C;N;...17;file;dSP;gammaPG1;dIPG1;gammaPG2;dIPG2;dSC;gammaCG1;dICG1;gammaCG2;dICG2;psiG1;FG1;psiG2;FG2;pi;FGB;c;kappa;sigma;eul;demog_feedback;vanish_threshold;pBc;pBp;pGc;pGp;fc
0;29.8202;0.93184;0;1.0604;0.0331361;1.1208;0.0350235;29.8788;0.963858;0;0;0;1.12036;0.0361417;63.0005;NA;./competition_output_1008;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0.033136050297799466;0.03614162448272792;0.0350234677232871;0.4920462536011619
10;25.7491;0.888018;0;1.29102;0.0445239;1.95604;0.0674584;27.1291;0.920799;0;0;0;2.33347;0.0792012;58.4587;NA;./competition_output_1008;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0.044523826603246774;0.07920116948385698;0.06745858761987794;0.5039894831735909
50;7.64491;0.483141;0;1.5526;0.0981211;6.62583;0.418737;9.94856;0.478924;0;0;0;10.8242;0.521076;36.5961;NA;./competition_output_1008;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0.09812087713466308;0.5210766407545266;0.41873776332936025;0.5676222329701799
100;1.0106;0.152824;0;0.989117;0.149576;4.6131;0.6976;1.59308;0.131017;0;0;0;10.5662;0.868983;18.7721;NA;./competition_output_1008;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0.14957574056563186;0.8689823739563527;0.6975998277284855;0.6477314738361719
1000;0.00815334;0.0248488;0;0.119387;0.363855;0.200577;0.611296;0.0429317;0.0242127;0;0;0;1.73018;0.975787;2.10123;NA;./competition_output_1008;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0.3638545893368512;0.9757873686130434;0.6112965562868454;0.8438446528937812
165369;0.047369;0.0530691;0;5.08954e-6;5.70198e-6;0.845217;0.946925;1.23004e-4;0.054204;0;0;0;0.00214628;0.945796;0.89486;NA;./competition_output_1008;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;5.701983875531306e-6;0.9457961189520572;0.9469252045027534;0.002535909527747357
0;30;1;0;0;0;0;0;29.9986;1;0;0;0;0;0;59.9986;NA;./competition_output_1009;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.631579;1;0;1e-4;1;1e-7;0;0;0;0;0.49998833306110474
10;28.2824;1;0;0;0;0;0;29.0603;1;0;0;0;0;0;57.3428;NA;./competition_output_1009;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.631579;1;0;1e-4;1;1e-7;0;0;0;0;0.5067820197130242
50;22.8729;1;0;0;0;0;0;25.9132;1;0;0;0;0;0;48.7861;NA;./competition_output_1009;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.631579;1;0;1e-4;1;1e-7;0;0;0;0;0.531159490100664
100;18.2686;1;0;0;0;0;0;22.9429;1;0;0;0;0;0;41.2116;NA;./competition_output_1009;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.631579;1;0;1e-4;1;1e-7;0;0;0;0;0.5567097613293346
