time;Sp;Ipg1;Ipg2;Sc;Icg1;Icg2;N;
3630;0.769329;151.708;454.733;0.284632;0.463822;180.526;788.485;
3640;0.769742;151.45;455.335;0.284;0.458395;180.21;788.507;
3650;0.770155;151.192;455.934;0.28337;0.45303;179.896;788.528;
3660;0.770567;150.935;456.533;0.282741;0.447728;179.581;788.55;
3670;0.770979;150.679;457.13;0.282114;0.442488;179.267;788.571;
3680;0.77139;150.424;457.726;0.281488;0.437308;178.953;788.593;
3690;0.771801;150.17;458.32;0.280864;0.432189;178.639;788.614;
3700;0.77221;149.916;458.913;0.280242;0.42713;178.326;788.635;
3710;0.77262;149.663;459.505;0.279621;0.422129;178.013;788.656;
3720;0.773029;149.412;460.096;0.279002;0.417186;177.701;788.677;
3730;0.773437;149.161;460.685;0.278385;0.412301;177.389;788.699;
3740;0.773845;148.911;461.273;0.277769;0.407473;177.077;788.72;
3750;0.774252;148.661;461.86;0.277155;0.402701;176.765;788.741;
3760;0.774658;148.413;462.445;0.276542;0.397985;176.454;788.762;
3770;0.775064;148.165;463.029;0.275931;0.393324;176.144;788.783;
3780;0.77547;147.919;463.612;0.275321;0.388717;175.834;788.804;
3790;0.775875;147.673;464.194;0.274713;0.384163;175.524;788.825;
3800;0.776279;147.428;464.774;0.274107;0.379663;175.214;788.846;
3810;0.776683;147.183;465.353;0.273502;0.375215;174.905;788.867;
3820;0.777086;146.94;465.931;0.272899;0.370818;174.596;788.887;
3830;0.777488;146.697;466.507;0.272297;0.366473;174.288;788.908;
3840;0.77789;146.455;467.082;0.271697;0.362179;173.979;788.929;
3850;0.778292;146.214;467.656;0.271098;0.357935;173.672;788.95;
3860;0.778693;145.974;468.229;0.270501;0.35374;173.364;788.97;
3870;0.779093;145.735;468.8;0.269906;0.349594;173.057;788.991;
3880;0.779493;145.496;469.37;0.269311;0.345496;172.751;789.012;
3890;0.779892;145.258;469.939;0.268719;0.341446;172.445;789.032;
3900;0.780291;145.021;470.507;0.268128;0.337443;172.139;789.053;
3910;0.780689;144.785;471.073;0.267538;0.333487;171.833;789.073;
3920;0.781087;144.549;471.639;0.26695;0.329577;171.528;789.094;
3930;0.781484;144.315;472.203;0.266363;0.325713;171.223;789.114;
3940;0.78188;144.081;472.765;0.265778;0.321893;170.919;789.135;
